family,size,macs,n_params,flash_kb,threshold,recall_op,precision_op,fpr_op,f1_op,roc_auc,pr_auc,recall_deploy,precision_deploy,recall_05,precision_05,infer_us,feature_us,latency_ms,ram_kb,fits_flash,fits_ram,meets_latency,feasible,recall_holds
cnn,c4,4008.0,34,0.1328125,0.3274969458580017,0.9501100513573001,0.10825270109297612,0.9644253587976043,0.19436054255858018,0.6448531164469964,0.36923467108832764,0.8881144534115921,0.10430624071002348,0.566030814380044,0.2115872471717518,887.8,0.0,0.8877999999999999,5.34765625,True,True,True,True,False
cnn,c8,8016.0,66,0.2578125,0.378046452999115,0.9501100513573001,0.12297903658507633,0.8349191999095943,0.21777058415487777,0.7663948146231379,0.5329384159970849,0.987527512839325,0.11102175482008454,0.5585106382978723,0.4627659574468085,1578.8,0.0,1.5788,5.34765625,True,True,True,True,True
cnn,c8-16,84832.0,13554,52.9453125,0.0030173812992870808,0.9501100513573001,0.24215791688093125,0.3663916826760086,0.3859479193830794,0.9138713399435727,0.7199672962525231,0.9977989728539985,0.11677327952603786,0.8600513573000733,0.33032758013384994,19775.2,0.0,19.7752,5.34765625,True,True,True,True,True
cnn,c16-16,156832.0,14242,55.6328125,0.040957700461149216,0.9501100513573001,0.2358082578413074,0.3794101028364787,0.37784018381414347,0.9229133189793012,0.7474693268043036,0.9869772560528246,0.12190480505652342,0.8772927366104182,0.3870367373361385,31053.9,0.0,31.053900000000002,5.34765625,True,True,True,True,True
cnn,c16-32-32,553664.0,33538,131.0078125,0.007765267044305801,0.9501100513573001,0.13438140451915842,0.7541417109277885,0.23545989681583673,0.8155191317405162,0.5731639786296411,0.9611151870873074,0.13060166492198794,0.7056126192223038,0.27996506804453825,99691.8,0.0,99.6918,5.34765625,True,True,True,True,True
cnn,c16-32-64-64,1345280.0,82882,323.7578125,0.00033467879984527826,0.9501100513573001,0.12658227848101267,0.807820092665838,0.2234010436882736,0.7993881634535639,0.651694888411515,0.8950843727072634,0.13350842635149923,0.6397652237710931,0.4067638483965015,238623.8,0.0,238.6238,5.34765625,True,True,False,False,False
lstm,h4,8008.0,122,0.4765625,0.2692578136920929,0.9501100513573001,0.12263547905963683,0.8375861679285795,0.21723176280639953,0.8173043851322428,0.496425294807463,0.9840425531914894,0.11125396594985795,0.5029347028613352,0.38269364968597347,3436.5,0.0,3.4365,5.34765625,True,True,True,True,True
lstm,h8,28816.0,370,1.4453125,0.08215872198343277,0.9501100513573001,0.1470129132964382,0.6792857950050853,0.25462678496817165,0.7929749866244509,0.3019598079117247,0.9977989728539985,0.11001011122345804,0.6028980190755686,0.2654659990308512,31130.1,0.0,31.1301,5.34765625,True,True,True,True,True
lstm,h16,108832.0,1250,4.8828125,0.16475901007652283,0.9501100513573001,0.14474934331861622,0.6917391795683128,0.25122459867112856,0.8335549042561068,0.5522032616478604,0.9897285399853265,0.11295792338287629,0.592993396918562,0.342623993217465,15415.0,0.0,15.415,5.34765625,True,True,True,True,True
lstm,h24,240048.0,2642,10.3203125,0.12138964980840683,0.9501100513573001,0.13221031138335887,0.7684484122499717,0.23212045169385195,0.8579870579902293,0.6424630426522013,0.9882611885546588,0.11539202878375773,0.8123624358033749,0.33588654633702414,81071.1,0.0,81.0711,5.34765625,True,True,True,True,True
lstm,h32,422464.0,4546,17.7578125,0.14262232184410095,0.9501100513573001,0.14151458856955523,0.7102271443100915,0.24633821571238348,0.8461003465081837,0.624367030215134,0.9836757153338225,0.11599437655455823,0.5739178283198826,0.45479651162790696,58355.8,0.0,58.3558,5.34765625,True,True,True,True,True
lstm,h32x2,1241664.0,12994,50.7578125,0.03951035812497139,0.9501100513573001,0.15810035404712489,0.6234376765736241,0.27109064266275906,0.8768468642431297,0.6072606071645261,0.9871606749816582,0.13386727688787187,0.822083639031548,0.32525399129172716,261585.3,0.0,261.58529999999996,5.34765625,True,True,False,False,True
rf,n10_d3,30.0,150,2.9296875,0.3669431387313036,1.0,0.11012139207012867,0.9957509323087355,0.19839522570550028,0.8290788999457515,0.7144930791001892,0.7903521643433602,0.3075221238938053,0.6929567131327953,0.5142234925820063,39.1,937.4,0.9765,5.2421875,True,True,True,True,False
rf,n10_d5,50.0,614,11.9921875,0.34062498792866747,0.9987160674981658,0.10960806812005557,0.9997061814894338,0.19753668668033159,0.8161001628612508,0.7214912371118143,0.7859501100513573,0.3051559606893605,0.721019809244314,0.4583187594730092,66.8,937.4,1.0042,5.34765625,True,True,True,True,False
rf,n20_d6,120.0,2190,42.7734375,0.4079114127561437,0.9981658107116654,0.11962542864679504,0.9051870267826873,0.2136463567839196,0.8384191332080334,0.7397321284969083,0.7674247982391783,0.40676647870892474,0.7272560528246516,0.5374085117918135,264.0,937.4,1.2014,5.34765625,True,True,True,True,False
rf,n30_d8,240.0,8554,167.0703125,0.2316932024873282,0.973037417461482,0.11718059727867114,0.9033111085998418,0.2091712010093841,0.8246390052654022,0.7367615517991334,0.7881511371973587,0.3468959392911924,0.7138664710198093,0.5835082458770615,1283.7,937.4,2.2211,5.34765625,True,True,True,True,False
rf,n50_d10,500.0,24796,484.296875,0.20006489566995075,0.9532281731474688,0.10935297211993687,0.9566730704034354,0.19619835022745719,0.8215298025807907,0.7441301450012179,0.7753118121790169,0.3609118852459016,0.6746148202494497,0.7512254901960784,4007.6,937.4,4.945,5.34765625,True,True,True,True,False
rf,n80_d12,960.0,53896,1052.65625,0.14279380963783359,0.9680851063829787,0.10845799769850403,0.9805853768787434,0.19506245842264763,0.8142321833663635,0.7424725874383169,0.778613352898019,0.34792230145070074,0.6392149669845928,0.7951174994296144,8156.0,937.4,9.093399999999999,5.34765625,False,True,True,False,False
svm,linear,21.0,21,0.1640625,0.016717026392813555,0.9501100513573001,0.16964695093993581,0.5730365012995818,0.28788973489690434,0.8914535194587399,0.7195464569269023,0.9211298606016141,0.17721161650022937,0.5418195157740279,0.8831091180866966,37.8,937.4,0.9752,5.34765625,True,True,True,True,False
svm,rbf1k,5187.0,5187,21.390625,0.00783966866962007,0.9501100513573001,0.12009366378410961,0.8577918408859758,0.21323453740866521,0.8357524201390792,0.7162308383473348,0.8352898019075569,0.1632960413080895,0.5420029347028613,0.8836722488038278,839.1,937.4,1.7765,5.34765625,True,True,True,True,False
svm,rbf2k,7392.0,7392,30.4140625,0.011267015111020417,0.9501100513573001,0.1283512562565043,0.7950728895920443,0.2261514953067016,0.8456468588041957,0.6448983967768203,0.8030080704328687,0.2251825943832939,0.6014306676449009,0.7918377203574016,1710.9,937.4,2.6483000000000003,5.34765625,True,True,True,True,False
svm,rbf4k,12684.0,12684,52.0703125,0.01960463033518082,0.9501100513573001,0.15335425424832733,0.6463555203977851,0.2640836094825389,0.8773629287067681,0.6592612941591942,0.7811812179016875,0.34074725978078246,0.6005135730007337,0.7407239819004525,8346.5,937.4,9.2839,5.34765625,True,True,True,True,False
svm,rbf7k,20118.0,20118,82.4921875,0.026299567165203274,0.9501100513573001,0.18745702601961423,0.5074697705955475,0.313132839655433,0.9000907394106401,0.6769919911189384,0.8070432868672047,0.32899656049050396,0.5968451944240646,0.7542883634677793,13224.4,937.4,14.1618,5.34765625,True,True,True,True,False
svm,rbf10k,25116.0,25116,102.9453125,0.009621188799837421,0.9501100513573001,0.2048807499110074,0.45435642445474067,0.3370749959329754,0.9088251222703038,0.6048371176810801,0.8794937637564196,0.26560682435052346,0.6030814380044021,0.7271118973905352,16421.0,937.4,17.358400000000003,5.34765625,True,True,True,True,False
